from_id,to_id,type
cam_a7m4,brand_sony,producedBy
cam_a7m4,lens_s2470,compatibleWith
cam_a7m4,lens_s70200,compatibleWith
cam_a7m4,lens_s50,compatibleWith
cam_a7m3,brand_sony,producedBy
cam_a7m3,lens_s2470,compatibleWith
cam_a7m3,lens_s70200,compatibleWith
cam_a7m3,lens_s50,compatibleWith
cam_a7r5,brand_sony,producedBy
cam_a7r5,lens_s2470,compatibleWith
cam_a7r5,lens_s70200,compatibleWith
cam_a7r5,lens_s50,compatibleWith
cam_a9m3,brand_sony,producedBy
cam_a9m3,lens_s2470,compatibleWith
cam_a9m3,lens_s70200,compatibleWith
cam_a9m3,lens_s50,compatibleWith
cam_a6700,brand_sony,producedBy
cam_a6700,lens_s2470,compatibleWith
cam_a6700,lens_s70200,compatibleWith
cam_a6700,lens_s50,compatibleWith
cam_fx3,brand_sony,producedBy
cam_fx3,lens_s2470,compatibleWith
cam_fx3,lens_s70200,compatibleWith
cam_fx3,lens_s50,compatibleWith
lens_s2470,brand_sony,producedBy
lens_s70200,brand_sony,producedBy
lens_s50,brand_sony,producedBy
cam_r5m2,brand_canon,producedBy
cam_r5m2,lens_c2470,compatibleWith
cam_r5m2,lens_c70200,compatibleWith
cam_r5m2,lens_c50,compatibleWith
cam_r6m2,brand_canon,producedBy
cam_r6m2,lens_c2470,compatibleWith
cam_r6m2,lens_c70200,compatibleWith
cam_r6m2,lens_c50,compatibleWith
cam_r6,brand_canon,producedBy
cam_r6,lens_c2470,compatibleWith
cam_r6,lens_c70200,compatibleWith
cam_r6,lens_c50,compatibleWith
cam_r7,brand_canon,producedBy
cam_r7,lens_c2470,compatibleWith
cam_r7,lens_c70200,compatibleWith
cam_r7,lens_c50,compatibleWith
cam_r50,brand_canon,producedBy
cam_r50,lens_c2470,compatibleWith
cam_r50,lens_c70200,compatibleWith
cam_r50,lens_c50,compatibleWith
cam_r3,brand_canon,producedBy
cam_r3,lens_c2470,compatibleWith
cam_r3,lens_c70200,compatibleWith
cam_r3,lens_c50,compatibleWith
lens_c2470,brand_canon,producedBy
lens_c70200,brand_canon,producedBy
lens_c50,brand_canon,producedBy
cam_z6m3,brand_nikon,producedBy
cam_z6m3,lens_n2470,compatibleWith
cam_z6m3,lens_n70200,compatibleWith
cam_z6m3,lens_n50,compatibleWith
cam_z8,brand_nikon,producedBy
cam_z8,lens_n2470,compatibleWith
cam_z8,lens_n70200,compatibleWith
cam_z8,lens_n50,compatibleWith
cam_z9,brand_nikon,producedBy
cam_z9,lens_n2470,compatibleWith
cam_z9,lens_n70200,compatibleWith
cam_z9,lens_n50,compatibleWith
cam_zf,brand_nikon,producedBy
cam_zf,lens_n2470,compatibleWith
cam_zf,lens_n70200,compatibleWith
cam_zf,lens_n50,compatibleWith
cam_z50,brand_nikon,producedBy
cam_z50,lens_n2470,compatibleWith
cam_z50,lens_n70200,compatibleWith
cam_z50,lens_n50,compatibleWith
lens_n2470,brand_nikon,producedBy
lens_n70200,brand_nikon,producedBy
lens_n50,brand_nikon,producedBy
cam_xt5,brand_fuji,producedBy
cam_xt5,lens_f1655,compatibleWith
cam_xt5,lens_f1855,compatibleWith
cam_xh2s,brand_fuji,producedBy
cam_xh2s,lens_f1655,compatibleWith
cam_xh2s,lens_f1855,compatibleWith
cam_xt50,brand_fuji,producedBy
cam_xt50,lens_f1655,compatibleWith
cam_xt50,lens_f1855,compatibleWith
cam_gfx100m2,brand_fuji,producedBy
cam_x100vi,brand_fuji,producedBy
lens_f1655,brand_fuji,producedBy
lens_f1855,brand_fuji,producedBy
cam_a7m4,cat_ff,belongsToCategory
cam_a7m3,cat_ff,belongsToCategory
cam_a7r5,cat_ff,belongsToCategory
cam_a9m3,cat_ff,belongsToCategory
cam_fx3,cat_ff,belongsToCategory
cam_r5m2,cat_ff,belongsToCategory
cam_r6m2,cat_ff,belongsToCategory
cam_r6,cat_ff,belongsToCategory
cam_r3,cat_ff,belongsToCategory
cam_z6m3,cat_ff,belongsToCategory
cam_z8,cat_ff,belongsToCategory
cam_z9,cat_ff,belongsToCategory
cam_zf,cat_ff,belongsToCategory
cam_a6700,cat_apsc,belongsToCategory
cam_r7,cat_apsc,belongsToCategory
cam_r50,cat_apsc,belongsToCategory
cam_z50,cat_apsc,belongsToCategory
cam_xt5,cat_apsc,belongsToCategory
cam_xh2s,cat_apsc,belongsToCategory
cam_xt50,cat_apsc,belongsToCategory
cam_x100vi,cat_apsc,belongsToCategory
cam_gfx100m2,cat_mf,belongsToCategory
cam_a7m4,comp_bionz_xr,equippedWith
cam_a7m4,comp_exmor_r,equippedWith
cam_a7r5,comp_bionz_xr,equippedWith
cam_a9m3,comp_bionz_xr,equippedWith
cam_a9m3,comp_exmor_rs,equippedWith
cam_r5m2,comp_digic_x,equippedWith
cam_r6m2,comp_digic_x,equippedWith
cam_z8,comp_expeed_7,equippedWith
cam_z9,comp_expeed_7,equippedWith
cam_xt5,comp_x_proc_5,equippedWith
cam_xt5,comp_xtrans_5,equippedWith
cam_a9m3,index_120fps,achievesIndex
cam_a7m4,index_4k60p,achievesIndex
cam_a7m4,index_10fps,achievesIndex
cam_r5m2,index_8k30p,achievesIndex
cam_z9,index_8k30p,achievesIndex
cam_z9,index_20fps,achievesIndex
cam_z9,index_30fps,achievesIndex
cam_a7m4,cam_a7m3,successorOf
cam_r6m2,cam_r6,successorOf
