from_id,to_id,type,score,note
cam_a1,brand_sony,PRODUCED_BY,,
cam_a1,cat_ff,BELONGS_TO_CATEGORY,,
cam_a1,use_professional,SUITABLE_FOR,96,按品牌代表型号补充的用途关系
cam_a1,reason_fast,HAS_REASON,,
cam_a7s3,brand_sony,PRODUCED_BY,,
cam_a7s3,cat_ff,BELONGS_TO_CATEGORY,,
cam_a7s3,use_video,SUITABLE_FOR,95,按品牌代表型号补充的用途关系
cam_a7s3,reason_video,HAS_REASON,,
cam_zv1m2,brand_sony,PRODUCED_BY,,
cam_zv1m2,cat_vlog_compact,BELONGS_TO_CATEGORY,,
cam_zv1m2,use_video,SUITABLE_FOR,94,按品牌代表型号补充的用途关系
cam_zv1m2,reason_light,HAS_REASON,,
cam_r5,brand_canon,PRODUCED_BY,,
cam_r5,cat_ff,BELONGS_TO_CATEGORY,,
cam_r5,use_landscape,SUITABLE_FOR,96,按品牌代表型号补充的用途关系
cam_r5,reason_full_frame,HAS_REASON,,
cam_r10_old,brand_canon,PRODUCED_BY,,
cam_r10_old,cat_apsc,BELONGS_TO_CATEGORY,,
cam_r10_old,use_beginner,SUITABLE_FOR,95,按品牌代表型号补充的用途关系
cam_r10_old,reason_fast,HAS_REASON,,
cam_r8_dup,brand_canon,PRODUCED_BY,,
cam_r8_dup,cat_ff,BELONGS_TO_CATEGORY,,
cam_r8_dup,use_portrait,SUITABLE_FOR,94,按品牌代表型号补充的用途关系
cam_r8_dup,reason_full_frame,HAS_REASON,,
cam_r5c,brand_canon,PRODUCED_BY,,
cam_r5c,cat_ff,BELONGS_TO_CATEGORY,,
cam_r5c,use_video,SUITABLE_FOR,93,按品牌代表型号补充的用途关系
cam_r5c,reason_video,HAS_REASON,,
cam_r1,brand_canon,PRODUCED_BY,,
cam_r1,cat_ff,BELONGS_TO_CATEGORY,,
cam_r1,use_sports,SUITABLE_FOR,92,按品牌代表型号补充的用途关系
cam_r1,reason_fast,HAS_REASON,,
cam_z7m2,brand_nikon,PRODUCED_BY,,
cam_z7m2,cat_ff,BELONGS_TO_CATEGORY,,
cam_z7m2,use_landscape,SUITABLE_FOR,96,按品牌代表型号补充的用途关系
cam_z7m2,reason_full_frame,HAS_REASON,,
cam_z5,brand_nikon,PRODUCED_BY,,
cam_z5,cat_ff,BELONGS_TO_CATEGORY,,
cam_z5,use_beginner,SUITABLE_FOR,95,按品牌代表型号补充的用途关系
cam_z5,reason_full_frame,HAS_REASON,,
cam_z30_new,brand_nikon,PRODUCED_BY,,
cam_z30_new,cat_apsc,BELONGS_TO_CATEGORY,,
cam_z30_new,use_video,SUITABLE_FOR,94,按品牌代表型号补充的用途关系
cam_z30_new,reason_video,HAS_REASON,,
cam_zfc,brand_nikon,PRODUCED_BY,,
cam_zfc,cat_apsc,BELONGS_TO_CATEGORY,,
cam_zfc,use_street,SUITABLE_FOR,93,按品牌代表型号补充的用途关系
cam_zfc,reason_light,HAS_REASON,,
cam_z7,brand_nikon,PRODUCED_BY,,
