from_id,to_id,type,note
offer_jd_10202282356480,cam_zve10,offerForCamera,京东搜索页采集商品报价
offer_jd_10110724739640,cam_r100,offerForCamera,京东搜索页采集商品报价
offer_jd_10110724739640,lens_c1845,offerIncludesLens,标题识别出的套机镜头
offer_jd_100013051295,cam_zve10,offerForCamera,京东搜索页采集商品报价
offer_jd_10158296775136,cam_xt5,offerForCamera,京东搜索页采集商品报价
offer_jd_10220073054348,cam_zve10,offerForCamera,京东搜索页采集商品报价
offer_jd_10165137640802,cam_r100,offerForCamera,京东搜索页采集商品报价
offer_jd_10165137640802,lens_c1845,offerIncludesLens,标题识别出的套机镜头
offer_jd_100207538579,cam_zve10,offerForCamera,京东搜索页采集商品报价
offer_jd_100207538579,lens_s1650p,offerIncludesLens,标题识别出的套机镜头
offer_jd_10033910239285,cam_r100,offerForCamera,京东搜索页采集商品报价
offer_jd_100064843454,cam_a7c2,offerForCamera,京东搜索页采集商品报价
offer_jd_10068864908740,cam_r50,offerForCamera,京东搜索页采集商品报价
offer_jd_10068864908740,lens_c1845,offerIncludesLens,标题识别出的套机镜头
offer_jd_10054809857901,cam_zve10,offerForCamera,京东搜索页采集商品报价
offer_jd_10202282356481,cam_zve10,offerForCamera,京东搜索页采集商品报价
offer_jd_10070240860330,cam_r50,offerForCamera,京东搜索页采集商品报价
offer_jd_10070240860330,lens_c1845,offerIncludesLens,标题识别出的套机镜头
offer_jd_100262353621,cam_zve10,offerForCamera,京东搜索页采集商品报价
offer_jd_100262353621,lens_s1650p,offerIncludesLens,标题识别出的套机镜头
offer_jd_10096485342065,cam_r100,offerForCamera,京东搜索页采集商品报价
offer_jd_10096485342065,lens_c1845,offerIncludesLens,标题识别出的套机镜头
offer_jd_10183298551057,cam_zve10,offerForCamera,京东搜索页采集商品报价
offer_jd_10137496244596,cam_xt30iii,offerForCamera,京东搜索页采集商品报价
cam_xt30iii,brand_fuji,producedBy,
cam_xt30iii,cat_apsc,belongsToCategory,
cam_xt30iii,use_beginner,suitableFor,复古入门微单，适合新手
cam_xt30iii,use_travel,suitableFor,轻便适合街拍旅行
cam_xt30iii,reason_light,hasReason,
offer_jd_100216074669,cam_zve10,offerForCamera,京东搜索页采集商品报价
offer_jd_10097041537048,cam_r100,offerForCamera,京东搜索页采集商品报价
offer_jd_10097041537048,lens_c1845,offerIncludesLens,标题识别出的套机镜头
offer_jd_100207538577,cam_zve10,offerForCamera,京东搜索页采集商品报价
offer_jd_100207538577,lens_s1650p,offerIncludesLens,标题识别出的套机镜头
offer_jd_10039419624359,cam_r100,offerForCamera,京东搜索页采集商品报价
offer_jd_10137496294268,cam_xt30iii,offerForCamera,京东搜索页采集商品报价
offer_jd_10137496294268,lens_f1545,offerIncludesLens,标题识别出的套机镜头
cam_xt30iii,brand_fuji,producedBy,
cam_xt30iii,cat_apsc,belongsToCategory,
cam_xt30iii,use_beginner,suitableFor,复古入门微单，适合新手
cam_xt30iii,use_travel,suitableFor,轻便适合街拍旅行
cam_xt30iii,reason_light,hasReason,
offer_jd_10066504677198,cam_r50,offerForCamera,京东搜索页采集商品报价
offer_jd_10066504677198,lens_c1845,offerIncludesLens,标题识别出的套机镜头
