id,name,Label,platform,keyword,sku,title,price,shop,sold,soldScore,rank,url,capturedAt,cameraModel,lensModel
offer_jd_10202282356480,索尼（SONY）ZV-E10K 半画幅微单相机 美肤拍照 精准对焦 VLOG APS-C画幅 索尼zve10/ZV-10 创意滤镜 E10K黑色 套机 官方标配,ProductOffer,京东,微单相机,10202282356480,索尼（SONY）ZV-E10K 半画幅微单相机 美肤拍照 精准对焦 VLOG APS-C画幅 索尼zve10/ZV-10 创意滤镜 E10K黑色 套机 官方标配,3446.1,SONY数码专卖店,已售1000+,1000,索尼E卡口微单相机热卖榜第7名,https://item.jd.com/10202282356480.html,2026-06-06T07:20:34.772Z,ZV-E10,
offer_jd_10110724739640,入门级微单相机 旅行家用学生vlog视频 4k小巧便携半画幅 人像 初学者 半画幅相机 数码相机 R100 RF-S 18-45STM 套机 官方标配【不含内存,ProductOffer,京东,微单相机,10110724739640,入门级微单相机 旅行家用学生vlog视频 4k小巧便携半画幅 人像 初学者 半画幅相机 数码相机 R100 RF-S 18-45STM 套机 官方标配【不含内存卡相机包等必要...,2589,佳能（Canon）相机官方旗舰店,已售100万+,1000000,,https://item.jd.com/10110724739640.html,2026-06-06T07:20:34.772Z,EOS R100,RF-S 18-45mm F4.5-6.3 IS STM
offer_jd_100013051295,索尼ZV-E10半画幅微黑色单机身,ProductOffer,京东,微单相机,100013051295,索尼ZV-E10半画幅微黑色单机身,3018.6,SONY京东自营旗舰店,已售9万+,90000,微单相机热卖榜第1名,https://item.jd.com/100013051295.html,2026-06-06T07:20:34.772Z,ZV-E10,
offer_jd_10158296775136,【大促底价】富士XT5 16 55二代 全新官方标配,ProductOffer,京东,微单相机,10158296775136,【大促底价】富士XT5 16 55二代 全新官方标配,19698,乐严选数码买手店,已售2000+,2000,,https://item.jd.com/10158296775136.html,2026-06-06T07:20:34.772Z,X-T5,
offer_jd_10220073054348,索尼（SONY）ZV-E10K 半画幅微单相机 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 ZV-E10黑色单机身 (上海、江苏专享) 官方标配,ProductOffer,京东,微单相机,10220073054348,索尼（SONY）ZV-E10K 半画幅微单相机 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 ZV-E10黑色单机身 (上海、江苏专享) 官方标配,2940,克尔数码专营店,已售600+,600,,https://item.jd.com/10220073054348.html,2026-06-06T07:20:34.772Z,ZV-E10,
offer_jd_10165137640802,佳能Canon [官方旗舰店] EOS R100套机入门微单相机照相机 买家秀晒图赢20元E卡 至高24期免息 EOS R100 套机 RF-S18-45mm,ProductOffer,京东,微单相机,10165137640802,佳能Canon [官方旗舰店] EOS R100套机入门微单相机照相机 买家秀晒图赢20元E卡 至高24期免息 EOS R100 套机 RF-S18-45mm,2499,官方旗舰店,已售1000+,1000,佳能RF卡口微单相机热卖榜第8名,https://item.jd.com/10165137640802.html,2026-06-06T07:20:34.772Z,EOS R100,RF-S 18-45mm F4.5-6.3 IS STM
offer_jd_100207538579,索尼（SONY）ZV-E10K APS-C画幅微单相机 新升级标准镜头套装 黑色 新套机镜头E PZ 16-50mm F3.5-5.6 OSS II,ProductOffer,京东,微单相机,100207538579,索尼（SONY）ZV-E10K APS-C画幅微单相机 新升级标准镜头套装 黑色 新套机镜头E PZ 16-50mm F3.5-5.6 OSS II,3599.1,SONY京东自营旗舰店,已售9万+,90000,,https://item.jd.com/100207538579.html,2026-06-06T07:20:34.772Z,ZV-E10,E PZ 16-50mm F3.5-5.6 OSS
offer_jd_10033910239285,Canon佳能r100入门级微单相机 旅行家用学生vlog视频送礼物 4k小巧便携半画幅数码相机 R100 套机 送礼好物 【国家补贴至高立省15%】 官方标配,ProductOffer,京东,微单相机,10033910239285,Canon佳能r100入门级微单相机 旅行家用学生vlog视频送礼物 4k小巧便携半画幅数码相机 R100 套机 送礼好物 【国家补贴至高立省15%】 官方标配【不含内存卡配件 推荐购买套餐】,2599,佳能（Canon）数码影像旗舰店,已售1万+,10000,主推微单相机热卖榜第4名,https://item.jd.com/10033910239285.html,2026-06-06T07:20:34.772Z,EOS R100,
offer_jd_100064843454,索尼A7C2微单套机,ProductOffer,京东,微单相机,100064843454,索尼A7C2微单套机,11449,SONY京东自营旗舰店,已售8万+,80000,,https://item.jd.com/100064843454.html,2026-06-06T07:20:34.773Z,Alpha 7C II,
offer_jd_10068864908740,佳能r50相机 入门级微单 旅行家用学生vlog视频 4k小巧便携 半画幅 记录 高清便携 R50数码照相机 EOSR50 18-45 STM白色套机 送礼好物,ProductOffer,京东,微单相机,10068864908740,佳能r50相机 入门级微单 旅行家用学生vlog视频 4k小巧便携 半画幅 记录 高清便携 R50数码照相机 EOSR50 18-45 STM白色套机 送礼好物 官方标配【不含内存卡相机包等必要配件,5799,佳能（Canon）相机官方旗舰店,已售200万+,2000000,,https://item.jd.com/10068864908740.html,2026-06-06T07:20:34.773Z,EOS R50,RF-S 18-45mm F4.5-6.3 IS STM
