id,name,Label,brand,price,weight,focalLength,maxAperture,mount,sourcePlatform,sourceTitle,sourceUrl,marketNote
lens_s2860,FE 28-60mm F4-5.6,Lens,索尼,2999,167,28-60mm,F4-5.6,索尼E卡口,京东自营微单排行榜,索尼 Alpha 7C II 含2860镜头套装,https://www.jd.com/phb/key_652c33b950d6af2d7e9.html,轻便全画幅套机镜头
lens_s24105,FE 24-105mm F4 G OSS,Lens,索尼,7499,663,24-105mm,F4,索尼E卡口,京东自营微单排行榜,索尼 Alpha 7 IV + SEL24105G 套装,https://www.jd.com/phb/key_652c33b950d6af2d7e9.html,一镜走天下全画幅标准变焦
lens_s1650p,E PZ 16-50mm F3.5-5.6 OSS,Lens,索尼,1299,116,16-50mm,F3.5-5.6,索尼E卡口,京东自营数码微单排行榜,索尼 ZV-E10K 标准镜头套装,https://www.jd.com/phb/key_65248aeaf2fae7926b5.html,APS-C轻便电动变焦套头
lens_s18135,E 18-135mm F3.5-5.6 OSS,Lens,索尼,3999,325,18-135mm,F3.5-5.6,索尼E卡口,市场补充,索尼 APS-C 旅行变焦镜头,https://www.sony.com.cn/,APS-C旅行大变焦
lens_c1845,RF-S 18-45mm F4.5-6.3 IS STM,Lens,佳能,1499,130,18-45mm,F4.5-6.3,佳能RF卡口,市场补充,佳能 RF-S 入门套机镜头,https://www.canon.com.cn/,R50/R100常见套机镜头
lens_c18150,RF-S 18-150mm F3.5-6.3 IS STM,Lens,佳能,3299,310,18-150mm,F3.5-6.3,佳能RF卡口,市场补充,佳能 RF-S 旅行变焦镜头,https://www.canon.com.cn/,APS-C一镜走天下
lens_c24105,RF 24-105mm F4-7.1 IS STM,Lens,佳能,2999,395,24-105mm,F4-7.1,佳能RF卡口,市场补充,佳能 RF 全画幅轻量标准变焦,https://www.canon.com.cn/,轻便全画幅标准变焦
lens_n1650,NIKKOR Z DX 16-50mm f/3.5-6.3 VR,Lens,尼康,1699,135,16-50mm,f/3.5-6.3,尼康Z卡口,市场补充,尼康 Z DX 16-50mm 套机镜头,https://www.nikon.com.cn/,Z30/Z50系列轻便套头
lens_n18140,NIKKOR Z DX 18-140mm f/3.5-6.3 VR,Lens,尼康,3999,315,18-140mm,f/3.5-6.3,尼康Z卡口,京东自营微单排行榜,尼康 Z50II 18-140mm VR 微单套机,https://www.jd.com/phb/key_652c33b950d6af2d7e9.html,旅行大变焦套机镜头
lens_n2450,NIKKOR Z 24-50mm f/4-6.3,Lens,尼康,2499,195,24-50mm,f/4-6.3,尼康Z卡口,市场补充,尼康 Z 全画幅轻便套机镜头,https://www.nikon.com.cn/,入门全画幅轻便套头
lens_fxc35,XC 35mm F2,Lens,富士,1399,130,35mm,F2,富士X卡口,京东自营微单排行榜,富士 X-S20/X-M5 XC35 镜头套装,https://www.jd.com/phb/key_652c33b950d6af2d7e9.html,富士入门定焦，适合人像和街拍
lens_f1650,XF 16-50mm F2.8-4.8 R LM WR,Lens,富士,4999,240,16-50mm,F2.8-4.8,富士X卡口,京东自营微单排行榜,富士 X-T50/X-T5 16-50mm套机,https://www.jd.com/phb/key_652c33b950d6af2d7e9.html,新款轻便标准变焦套机镜头
lens_f1545,XC 15-45mm F3.5-5.6 OIS PZ,Lens,富士,1399,135,15-45mm,F3.5-5.6,富士X卡口,市场补充,富士 XC 15-45mm 电动变焦套头,https://www.fujifilm.com.cn/,轻便入门套机镜头
