id,name,Label,country,foundedYear,marketPositioning,price,releaseYear,weight,focalLength,maxAperture,componentType,indexValue
brand_sony,索尼,Brand,日本,1946,专业级,,,,,,,
brand_canon,佳能,Brand,日本,1937,专业级,,,,,,,
brand_nikon,尼康,Brand,日本,1917,专业级,,,,,,,
brand_fuji,富士,Brand,日本,1934,专业级,,,,,,,
cat_ff,全画幅微单,CameraCategory,,,,,,,,,,
cat_apsc,APS-C画幅微单,CameraCategory,,,,,,,,,,
cat_mf,中画幅微单,CameraCategory,,,,,,,,,,
cam_a7m4,Alpha 7 IV,CameraModel,,,,16999,2021,658,,,,
cam_a7m3,Alpha 7 III,CameraModel,,,,11999,2018,650,,,,
cam_a7r5,Alpha 7R V,CameraModel,,,,25999,2022,723,,,,
cam_a9m3,Alpha 9 III,CameraModel,,,,44999,2024,617,,,,
cam_a6700,Alpha 6700,CameraModel,,,,9999,2023,493,,,,
cam_fx3,FX3,CameraModel,,,,26999,2021,715,,,,
cam_r5m2,EOS R5 Mark II,CameraModel,,,,26999,2024,746,,,,
cam_r6m2,EOS R6 Mark II,CameraModel,,,,15499,2022,670,,,,
cam_r6,EOS R6,CameraModel,,,,12999,2020,680,,,,
cam_r7,EOS R7,CameraModel,,,,8999,2022,612,,,,
cam_r50,EOS R50,CameraModel,,,,4599,2023,375,,,,
cam_r3,EOS R3,CameraModel,,,,36999,2021,1015,,,,
cam_z6m3,Z 6III,CameraModel,,,,16999,2024,760,,,,
cam_z8,Z 8,CameraModel,,,,27999,2023,910,,,,
cam_z9,Z 9,CameraModel,,,,35999,2021,1340,,,,
cam_zf,Z f,CameraModel,,,,13799,2023,710,,,,
cam_z50,Z 50,CameraModel,,,,5599,2019,450,,,,
cam_xt5,X-T5,CameraModel,,,,11990,2022,557,,,,
cam_xh2s,X-H2S,CameraModel,,,,16700,2022,660,,,,
cam_xt50,X-T50,CameraModel,,,,9999,2024,438,,,,
cam_gfx100m2,GFX100 II,CameraModel,,,,53900,2023,1030,,,,
cam_x100vi,X100VI,CameraModel,,,,11390,2024,521,,,,
lens_s2470,FE 24-70mm F2.8 GM II,Lens,,,,14499,,,24-70mm,F2.8,,
lens_s70200,FE 70-200mm F2.8 GM OSS II,Lens,,,,18999,,,70-200mm,F2.8,,
lens_s50,FE 50mm F1.2 GM,Lens,,,,15999,,,50mm,F1.2,,
lens_c2470,RF 24-70mm F2.8 L IS USM,Lens,,,,15999,,,24-70mm,F2.8,,
lens_c70200,RF 70-200mm F2.8 L IS USM,Lens,,,,17999,,,70-200mm,F2.8,,
lens_c50,RF 50mm F1.2 L USM,Lens,,,,16499,,,50mm,F1.2,,
lens_n2470,NIKKOR Z 24-70mm f/2.8 S,Lens,,,,15499,,,24-70mm,f/2.8,,
lens_n70200,NIKKOR Z 70-200mm f/2.8 VR S,Lens,,,,17499,,,70-200mm,f/2.8,,
lens_n50,NIKKOR Z 50mm f/1.2 S,Lens,,,,14999,,,50mm,f/1.2,,
lens_f1655,XF 16-55mm F2.8 R LM WR,Lens,,,,7999,,,16-55mm,F2.8,,
lens_f1855,XF 18-55mm F2.8-4 R LM OIS,Lens,,,,2399,,,18-55mm,F2.8-4,,
comp_bionz_xr,BIONZ XR,Component,,,,,,,,,图像处理器,
comp_exmor_r,Exmor R CMOS,Component,,,,,,,,,图像传感器,
comp_exmor_rs,Exmor RS CMOS,Component,,,,,,,,,图像传感器,
comp_digic_x,DIGIC X,Component,,,,,,,,,图像处理器,
comp_expeed_7,EXPEED 7,Component,,,,,,,,,图像处理器,
comp_x_proc_5,X-Processor 5,Component,,,,,,,,,图像处理器,
comp_xtrans_5,X-Trans CMOS 5 HR,Component,,,,,,,,,图像传感器,
index_8k30p,8K 30p 视频规格,ParameterIndex,,,,,,,,,,8K 30p
index_4k120p,4K 120p 视频规格,ParameterIndex,,,,,,,,,,4K 120p
index_4k60p,4K 60p 视频规格,ParameterIndex,,,,,,,,,,4K 60p
index_10fps,10fps 连拍速度,ParameterIndex,,,,,,,,,,10fps
index_20fps,20fps 连拍速度,ParameterIndex,,,,,,,,,,20fps
index_30fps,30fps 连拍速度,ParameterIndex,,,,,,,,,,30fps
index_120fps,120fps 连拍速度,ParameterIndex,,,,,,,,,,120fps
