id,name,Label,brand,price,weight,focalLength,maxAperture,mount,lensType,coverage,stabilization,marketHotScore,sourcePlatform,marketNote
lens_s35f18,FE 35mm F1.8,Lens,索尼,3999,280,35mm,F1.8,索尼E卡口,定焦,全画幅,无,95,市场热销镜头扩容,人像/街拍常用轻便定焦
lens_s85f18,FE 85mm F1.8,Lens,索尼,4299,371,85mm,F1.8,索尼E卡口,定焦,全画幅,无,94,市场热销镜头扩容,高性价比人像定焦
lens_s55f18,Sonnar T* FE 55mm F1.8 ZA,Lens,索尼,4999,281,55mm,F1.8,索尼E卡口,定焦,全画幅,无,93,市场热销镜头扩容,轻便高画质标准定焦
lens_s20f18g,FE 20mm F1.8 G,Lens,索尼,6499,373,20mm,F1.8,索尼E卡口,定焦,全画幅,无,92,市场热销镜头扩容,风光星空和Vlog广角定焦
lens_s1224f4,FE 12-24mm F4 G,Lens,索尼,11999,565,12-24mm,F4,索尼E卡口,超广角变焦,全画幅,无,91,市场热销镜头扩容,风光建筑超广角镜头
lens_s200600,FE 200-600mm F5.6-6.3 G OSS,Lens,索尼,13999,2115,200-600mm,F5.6-6.3,索尼E卡口,超长焦变焦,全画幅,OSS,90,市场热销镜头扩容,生态体育常用长焦
lens_c3518,RF 35mm F1.8 MACRO IS STM,Lens,佳能,3499,305,35mm,F1.8,佳能RF卡口,定焦,全画幅,IS,89,市场热销镜头扩容,轻便人文街拍定焦
lens_c8512,RF 85mm F1.2 L USM,Lens,佳能,18999,1195,85mm,F1.2,佳能RF卡口,定焦,全画幅,无,88,市场热销镜头扩容,高端人像定焦
lens_c1535,RF 15-35mm F2.8 L IS USM,Lens,佳能,15999,840,15-35mm,F2.8,佳能RF卡口,广角变焦,全画幅,IS,87,市场热销镜头扩容,风光视频广角大三元
lens_c100500,RF 100-500mm F4.5-7.1 L IS USM,Lens,佳能,19999,1530,100-500mm,F4.5-7.1,佳能RF卡口,超长焦变焦,全画幅,IS,86,市场热销镜头扩容,生态体育长焦
lens_c2870,RF 28-70mm F2 L USM,Lens,佳能,21999,1430,28-70mm,F2,佳能RF卡口,标准变焦,全画幅,无,85,市场热销镜头扩容,高端人像商业标准变焦
lens_c5018,RF 50mm F1.8 STM,Lens,佳能,999,160,50mm,F1.8,佳能RF卡口,定焦,全画幅,无,84,市场热销镜头扩容,入门人像小痰盂
lens_n35f18,NIKKOR Z 35mm f/1.8 S,Lens,尼康,5499,370,35mm,f/1.8,尼康Z卡口,定焦,全画幅,无,83,市场热销镜头扩容,街拍人文定焦
lens_n85f18,NIKKOR Z 85mm f/1.8 S,Lens,尼康,5999,470,85mm,f/1.8,尼康Z卡口,定焦,全画幅,无,82,市场热销镜头扩容,人像定焦
lens_n1430,NIKKOR Z 14-30mm f/4 S,Lens,尼康,7999,485,14-30mm,f/4,尼康Z卡口,广角变焦,全画幅,无,81,市场热销镜头扩容,风光超广角变焦
lens_n24120,NIKKOR Z 24-120mm f/4 S,Lens,尼康,7999,630,24-120mm,f/4,尼康Z卡口,标准变焦,全画幅,无,80,市场热销镜头扩容,旅行全能标准变焦
lens_n180600,NIKKOR Z 180-600mm f/5.6-6.3 VR,Lens,尼康,12999,1955,180-600mm,f/5.6-6.3,尼康Z卡口,超长焦变焦,全画幅,VR,79,市场热销镜头扩容,生态体育热门长焦
lens_n40f2,NIKKOR Z 40mm f/2,Lens,尼康,1799,170,40mm,f/2,尼康Z卡口,定焦,全画幅,无,78,市场热销镜头扩容,轻便街拍定焦
lens_f23f2,XF 23mm F2 R WR,Lens,富士,2999,180,23mm,F2,富士X卡口,定焦,APS-C,无,77,市场热销镜头扩容,街拍人文定焦
lens_f35f2,XF 35mm F2 R WR,Lens,富士,2799,170,35mm,F2,富士X卡口,定焦,APS-C,无,76,市场热销镜头扩容,小巧人像街拍定焦
lens_f56f12,XF 56mm F1.2 R WR,Lens,富士,6999,445,56mm,F1.2,富士X卡口,定焦,APS-C,无,75,市场热销镜头扩容,富士高端人像定焦
lens_f1024,XF 10-24mm F4 R OIS WR,Lens,富士,6999,385,10-24mm,F4,富士X卡口,广角变焦,APS-C,OIS,74,市场热销镜头扩容,风光旅行广角
