edge_id,from_id,from_name,from_label,to_id,to_name,to_label,type,score,note,properties_json
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152923703630102788,cam_500cm,500 C/M,CameraModel,cat_mf,中画幅微单,CameraCategory,BELONGS_TO_CATEGORY,,,"{""note"": """"}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152929201188241668,cam_500cm,500 C/M,CameraModel,reason_full_frame,全画幅画质,Reason,HAS_REASON,,,"{""note"": """"}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152930300699869444,cam_500cm,500 C/M,CameraModel,band_pro,专业预算,PriceBand,IN_PRICE_BAND,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152921504606847236,cam_500cm,500 C/M,CameraModel,brand_hasselblad,哈苏,Brand,PRODUCED_BY,,,"{""note"": """"}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152928101676613892,cam_500cm,500 C/M,CameraModel,use_studio,商业棚拍,UseCase,SUITABLE_FOR,85,按品牌代表型号补充的用途关系,"{""note"": ""按品牌代表型号补充的用途关系"", ""score"": 85}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152923703630102789,cam_503cw,503CW,CameraModel,cat_mf,中画幅微单,CameraCategory,BELONGS_TO_CATEGORY,,,"{""note"": """"}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152929201188241669,cam_503cw,503CW,CameraModel,reason_full_frame,全画幅画质,Reason,HAS_REASON,,,"{""note"": """"}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152930300699869445,cam_503cw,503CW,CameraModel,band_pro,专业预算,PriceBand,IN_PRICE_BAND,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152921504606847237,cam_503cw,503CW,CameraModel,brand_hasselblad,哈苏,Brand,PRODUCED_BY,,,"{""note"": """"}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152928101676613893,cam_503cw,503CW,CameraModel,use_studio,商业棚拍,UseCase,SUITABLE_FOR,84,按品牌代表型号补充的用途关系,"{""note"": ""按品牌代表型号补充的用途关系"", ""score"": 84}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152923703630102780,cam_907x100c,907X & CFV 100C,CameraModel,cat_mf,中画幅微单,CameraCategory,BELONGS_TO_CATEGORY,,,"{""note"": """"}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152929201188241660,cam_907x100c,907X & CFV 100C,CameraModel,reason_full_frame,全画幅画质,Reason,HAS_REASON,,,"{""note"": """"}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152930300699869436,cam_907x100c,907X & CFV 100C,CameraModel,band_pro,专业预算,PriceBand,IN_PRICE_BAND,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152921504606847228,cam_907x100c,907X & CFV 100C,CameraModel,brand_hasselblad,哈苏,Brand,PRODUCED_BY,,,"{""note"": """"}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152928101676613884,cam_907x100c,907X & CFV 100C,CameraModel,use_studio,商业棚拍,UseCase,SUITABLE_FOR,93,按品牌代表型号补充的用途关系,"{""note"": ""按品牌代表型号补充的用途关系"", ""score"": 93}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152923703630102779,cam_907x50c,907X 50C,CameraModel,cat_mf,中画幅微单,CameraCategory,BELONGS_TO_CATEGORY,,,"{""note"": """"}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152929201188241659,cam_907x50c,907X 50C,CameraModel,reason_full_frame,全画幅画质,Reason,HAS_REASON,,,"{""note"": """"}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152930300699869435,cam_907x50c,907X 50C,CameraModel,band_pro,专业预算,PriceBand,IN_PRICE_BAND,,,{}
