id,name,Label,labels,entityType,brand,category,country,foundedYear,marketPositioning,price,releaseYear,weight,effectivePixels,ibisStops,afPoints,batteryShots,cardSlots,screenType,videoBitrate,mount,portabilityLevel,focalLength,maxAperture,lensType,coverage,stabilization,ecosystemNote,componentType,indexValue,description,minBudget,maxBudget,experience,mainUse,portabilityNeed,sourcePlatform,sourceRank,sourceTitle,sourceUrl,marketHotScore,marketNote,keyword,sku,title,shop,sold,soldScore,rank,url,capturedAt,cameraModel,lensModel,priceType,priceDate,condition,mediaScore,userScore,pros,cons,reviewDate,targetModel,platform
band_entry,入门预算,PriceBand,PriceBand|Entity,PriceBand,,,,,,,,,,,,,,,,,,,,,,,,,,5000元以内或略高，适合初学者和轻量记录,0,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
band_high,高端预算,PriceBand,PriceBand|Entity,PriceBand,,,,,,,,,,,,,,,,,,,,,,,,,,12000到20000元，适合进阶创作和全画幅升级,12000,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
band_mid,中端预算,PriceBand,PriceBand|Entity,PriceBand,,,,,,,,,,,,,,,,,,,,,,,,,,6000到12000元，兼顾画质、便携和成本,6000,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
band_pro,专业预算,PriceBand,PriceBand|Entity,PriceBand,,,,,,,,,,,,,,,,,,,,,,,,,,20000元以上，适合旗舰性能和商业用途,20000,999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brand_canon,佳能,Brand,Brand|Entity,Brand,,,日本,1937,专业级,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brand_dji,大疆,Brand,Brand|Entity,Brand,,,中国,2006,影像稳定器与便携视频设备,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brand_fuji,富士,Brand,Brand|Entity,Brand,,,日本,1934,专业级,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brand_hasselblad,哈苏,Brand,Brand|Entity,Brand,,,瑞典,1941,中画幅高端影像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brand_leica,徕卡,Brand,Brand|Entity,Brand,,,德国,1914,高端便携与旁轴影像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brand_nikon,尼康,Brand,Brand|Entity,Brand,,,日本,1917,专业级,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
